label,x,y,plot_type,plot_num
group1,0.0,336.42863639962985,path,0
group1,103.802497318939,336.42863639962985,path,0
group1,111.8967191733126,336.42863639962985,path,0
group1,120.62210529752551,336.42863639962985,path,0
group1,130.02787207614082,336.42863639962985,path,0
group1,140.16707364662528,336.42863639962985,path,0
group1,151.09690115634444,336.42863639962985,path,0
group1,162.87900535476308,336.42863639962985,path,0
group1,175.57984434046054,336.42863639962985,path,0
group1,189.2710584244667,336.42863639962985,path,0
group1,204.0298742243658,626.800559065721,path,0
group1,219.93954026850463,626.800559065721,path,0
group1,237.08979656737114,626.800559065721,path,0
group1,255.57738080080432,626.800559065721,path,0
group1,275.5065739762364,626.800559065721,path,0
group1,296.9897886358048,626.800559065721,path,0
group1,320.1482029301701,626.800559065721,path,0
group1,345.112444135598,743.0414147361159,path,0
group1,372.02332546975043,743.0414147361159,path,0
group1,401.0326403622597,743.0414147361159,path,0
group1,432.3040186602566,743.0414147361159,path,0
group1,466.0138495983505,743.0414147361159,path,0
group1,502.3522767391734,743.0414147361159,path,0
group1,541.5242704965395,743.0414147361159,path,0
group1,583.7507842908958,743.0414147361159,path,0
group1,629.2700008584624,511.47401079712307,path,0
group1,678.3386757440032,511.47401079712307,path,0
group1,731.2335855553125,511.47401079712307,path,0
group1,788.2530891484482,511.47401079712307,path,0
group1,849.7188105497266,511.47401079712307,path,0
group1,915.977453107154,511.47401079712307,path,0
group1,987.4027551042054,511.47401079712307,path,0
group1,1064.397597866769,511.47401079712307,path,0
group1,1147.3962782542396,647.1793923953576,path,0
group1,1236.8669583529725,647.1793923953576,path,0
group1,1333.3143061898206,647.1793923953576,path,0
group1,1437.2823423609645,647.1793923953576,path,0
group1,1549.3575086327178,647.1793923953576,path,0
group1,1670.171975823042,647.1793923953576,path,0
group1,1800.407209622207,647.1793923953576,path,0
group1,1940.7978144659392,647.1793923953576,path,0
group1,2092.1356771428173,647.1793923953576,path,0
group1,2255.27443350831,647.1793923953576,path,0
group1,2431.1342835003993,12728.437830583658,path,0
group1,2620.707181616361,12728.437830583658,path,0
