label,x,y,plot_type,plot_num
CH_wild,0.0,3878.3636155493555,path,0
CH_wild,450.0,3878.3636155493555,path,0
CH_wild,493.87444447187505,3878.3636155493555,path,0
CH_wild,542.0265931164521,3878.3636155493555,path,0
CH_wild,594.8735168097131,3878.3636155493555,path,0
CH_wild,652.8729503231732,3878.3636155493555,path,0
CH_wild,716.5272570034917,3878.3636155493555,path,0
CH_wild,786.3877800034579,3878.3636155493555,path,0
CH_wild,863.0596177526202,3833.432245988061,path,0
CH_wild,947.2068650304096,3833.432245988061,path,0
CH_wild,1039.5583650374224,3833.432245988061,path,0
CH_wild,1140.9140222865503,3833.432245988061,path,0
CH_wild,1252.1517309932065,3833.432245988061,path,0
CH_wild,1374.2349789750372,3833.432245988061,path,0
CH_wild,1508.2211929224795,4578.2375988718195,path,0
CH_wild,1655.2708973228857,4578.2375988718195,path,0
CH_wild,1816.6577663684495,4578.2375988718195,path,0
CH_wild,1993.7796559127473,4578.2375988718195,path,0
CH_wild,2188.1707110294096,4578.2375988718195,path,0
CH_wild,2401.51465404284,4578.2375988718195,path,0
CH_wild,2635.659368125501,4372.315817291693,path,0
CH_wild,2892.6329027779457,4372.315817291693,path,0
CH_wild,3174.661039823391,4372.315817291693,path,0
CH_wild,3484.186572065072,4372.315817291693,path,0
CH_wild,3823.890461588902,4372.315817291693,path,0
CH_wild,4196.71506097449,4372.315817291693,path,0
CH_wild,4605.889598545619,3035.095907630794,path,0
CH_wild,5054.958148401126,3035.095907630794,path,0
CH_wild,5547.8103274893,3035.095907630794,path,0
CH_wild,6088.7149856091355,3035.095907630794,path,0
CH_wild,6682.3571801450935,3035.095907630794,path,0
CH_wild,7333.878755792902,5630.215651436797,path,0
CH_wild,8048.92288075846,5630.215651436797,path,0
CH_wild,8833.682925181223,5630.215651436797,path,0
CH_wild,9694.956105143483,5630.215651436797,path,0
CH_wild,10640.20235690434,5630.215651436797,path,0
CH_wild,11677.60895129882,8845.475145011673,path,0
CH_wild,12816.16140796111,8845.475145011673,path,0
CH_wild,14065.721323597068,8845.475145011673,path,0
CH_wild,15437.111788417138,8845.475145011673,path,0
CH_wild,16942.211130566116,8845.475145011673,path,0
CH_wild,18594.055800519025,8845.475145011673,path,0
CH_wild,20406.95328657863,8845.475145011673,path,0
CH_wild,22396.606039494505,8845.475145011673,path,0
CH_wild,24580.247479579546,5525.454335609494,path,0
CH_wild,26976.791264352356,5525.454335609494,path,0
CH_wild,29606.995109590578,5525.454335609494,path,0
CH_wild,32493.640582734613,5525.454335609494,path,0
CH_wild,35661.730425926304,5525.454335609494,path,0
