label,x,y,plot_type,plot_num
CH_wild,0.0,8784.331104156674,path,0
CH_wild,450.0,8784.331104156674,path,0
CH_wild,493.87444447187505,8784.331104156674,path,0
CH_wild,542.0265931164521,8784.331104156674,path,0
CH_wild,594.8735168097131,8784.331104156674,path,0
CH_wild,652.8729503231732,8784.331104156674,path,0
CH_wild,716.5272570034917,8784.331104156674,path,0
CH_wild,786.3877800034579,8784.331104156674,path,0
CH_wild,863.0596177526202,8682.563434511874,path,0
CH_wild,947.2068650304096,8682.563434511874,path,0
CH_wild,1039.5583650374224,8682.563434511874,path,0
CH_wild,1140.9140222865503,8682.563434511874,path,0
CH_wild,1252.1517309932065,8682.563434511874,path,0
CH_wild,1374.2349789750372,8682.563434511874,path,0
CH_wild,1508.2211929224795,10369.51635497765,path,0
CH_wild,1655.2708973228857,10369.51635497765,path,0
CH_wild,1816.6577663684495,10369.51635497765,path,0
CH_wild,1993.7796559127473,10369.51635497765,path,0
CH_wild,2188.1707110294096,10369.51635497765,path,0
CH_wild,2401.51465404284,10369.51635497765,path,0
CH_wild,2635.659368125501,9903.112146845802,path,0
CH_wild,2892.6329027779457,9903.112146845802,path,0
CH_wild,3174.661039823391,9903.112146845802,path,0
CH_wild,3484.186572065072,9903.112146845802,path,0
CH_wild,3823.890461588902,9903.112146845802,path,0
CH_wild,4196.71506097449,9903.112146845802,path,0
CH_wild,4605.889598545619,6874.365074643301,path,0
CH_wild,5054.958148401126,6874.365074643301,path,0
CH_wild,5547.8103274893,6874.365074643301,path,0
CH_wild,6088.7149856091355,6874.365074643301,path,0
CH_wild,6682.3571801450935,6874.365074643301,path,0
CH_wild,7333.878755792902,12752.20257114043,path,0
CH_wild,8048.92288075846,12752.20257114043,path,0
CH_wild,8833.682925181223,12752.20257114043,path,0
CH_wild,9694.956105143483,12752.20257114043,path,0
CH_wild,10640.20235690434,12752.20257114043,path,0
CH_wild,11677.60895129882,20034.630619946314,path,0
CH_wild,12816.16140796111,20034.630619946314,path,0
CH_wild,14065.721323597068,20034.630619946314,path,0
CH_wild,15437.111788417138,20034.630619946314,path,0
CH_wild,16942.211130566116,20034.630619946314,path,0
CH_wild,18594.055800519025,20034.630619946314,path,0
CH_wild,20406.95328657863,20034.630619946314,path,0
CH_wild,22396.606039494505,20034.630619946314,path,0
CH_wild,24580.247479579546,12514.922579794436,path,0
CH_wild,26976.791264352356,12514.922579794436,path,0
CH_wild,29606.995109590578,12514.922579794436,path,0
CH_wild,32493.640582734613,12514.922579794436,path,0
CH_wild,35661.730425926304,12514.922579794436,path,0
CH_wild,39138.70511780026,12514.922579794436,path,0
CH_wild,42954.68054978255,12514.922579794436,path,0
CH_wild,47142.70887553494,12514.922579794436,path,0
CH_wild,51739.06479289817,14691.810268939284,path,0
CH_wild,56783.55973797096,14691.810268939284,path,0
CH_wild,62319.88671272431,14691.810268939284,path,0
CH_wild,68395.99873288207,14691.810268939284,path,0
CH_wild,75064.52417400268,14691.810268939284,path,0
CH_wild,82383.22261329165,14691.810268939284,path,0
CH_wild,90415.48511542717,23651.475747541634,path,0
CH_wild,99230.88329563708,23651.475747541634,path,0
CH_wild,108905.77191574727,23651.475747541634,path,0
CH_wild,119523.95023260092,23651.475747541634,path,0
CH_wild,131177.38782713306,23651.475747541634,path,0
CH_wild,143967.02120088233,12607.623093605755,path,0
CH_wild,158003.6280396811,12607.623093605755,path,0
CH_wild,173408.78671697396,12607.623093605755,path,0
CH_wild,190315.9293475275,12607.623093605755,path,0
CH_wild,208871.49751257524,12607.623093605755,path,0
CH_wild,229236.21066673717,28087.23126031748,path,0
CH_wild,251586.45821305033,28087.23126031748,path,0
CH_wild,276115.827303593,28087.23126031748,path,0
CH_wild,303036.7795987873,28087.23126031748,path,0
CH_wild,332582.4915086603,28087.23126031748,path,0
CH_wild,365008.8738553593,28087.23126031748,path,0
CH_wild,400596.78845026775,28087.23126031748,path,0
CH_wild,439654.48078465165,28087.23126031748,path,0
CH_wild,482520.249904646,28087.23126031748,path,0
CH_wild,529565.3785957497,28087.23126031748,path,0
CH_wild,581197.3492566979,28087.23126031748,path,0
CH_wild,637863.3733170629,28087.23126031748,path,0
CH_wild,700054.2647687126,28087.23126031748,path,0
CH_wild,768308.6913618116,28087.23126031748,path,0
